report_id,audit_text,entities,category
RPT-1024,Energy audit suggests that Boiler Unit B-07 is outdated. Replacement advised under Power Station Alpha guidelines.,Power Station Alpha; Zone A; Boiler Unit B-07,System Upgrade
RPT-1025,Routine audit of Cooling Tower confirms adherence to ISO 50001. No corrective measures required.,Zone A; Cooling Tower; ISO 50001,Energy Efficiency
RPT-1026,Energy audit suggests that ISO 50001 is outdated. Replacement advised under Transformer T-101 guidelines.,Transformer T-101; ISO 50001; Plant 3,System Upgrade
RPT-1027,Energy audit suggests that ISO 50001 is outdated. Replacement advised under IEC 60034 Standard guidelines.,ISO 50001; Plant 3; IEC 60034 Standard,Maintenance Recommendation
RPT-1028,Cooling Tower recommends immediate shutdown of Load Balancer L-55 at Plant 3 due to critical faults.,Load Balancer L-55; Cooling Tower; Plant 3,Energy Efficiency
RPT-1029,"Audit highlights safety issues in Boiler Unit B-07, violating Load Balancer L-55. Maintenance is due within 30 days at Unit 5.",Load Balancer L-55; Unit 5; Boiler Unit B-07,Safety Compliance
RPT-1030,Energy audit suggests that Transformer T-101 is outdated. Replacement advised under HVAC System guidelines.,Transformer T-101; HVAC System; Substation Delta,Maintenance Recommendation
RPT-1031,"Audit highlights safety issues in Boiler Unit B-07, violating ISO 50001. Maintenance is due within 30 days at Plant 3.",ISO 50001; Plant 3; Boiler Unit B-07,Maintenance Recommendation
RPT-1032,"Audit highlights safety issues in Transformer T-101, violating Main Control Panel. Maintenance is due within 30 days at Substation Delta.",Transformer T-101; Main Control Panel; Substation Delta,Maintenance Recommendation
RPT-1033,Routine audit of ISO 50001 confirms adherence to Load Balancer L-55. No corrective measures required.,Load Balancer L-55; ISO 50001; Unit 5,Energy Efficiency
RPT-1034,"Audit highlights safety issues in Boiler Unit B-07, violating Inverter I-90. Maintenance is due within 30 days at Unit 5.",Inverter I-90; Unit 5; Boiler Unit B-07,Safety Compliance
RPT-1035,"Audit reveals Transformer T-101 has exceeded permissible limits as per Transformer T-101, located in Plant 3.",Transformer T-101; Plant 3,System Upgrade
RPT-1036,HVAC System at Unit 5 passed quality checks based on standards defined in Main Control Panel.,Unit 5; HVAC System; Main Control Panel,Maintenance Recommendation
RPT-1037,Power Station Alpha at Control Room passed quality checks based on standards defined in Boiler Unit B-07.,Power Station Alpha; Control Room; Boiler Unit B-07,Maintenance Recommendation
RPT-1038,Cooling Tower recommends immediate shutdown of Cooling Tower at Substation Delta due to critical faults.,Cooling Tower; Substation Delta,Energy Efficiency
RPT-1039,Boiler Unit B-07 at Sector 12 passed quality checks based on standards defined in ISO 50001.,Sector 12; ISO 50001; Boiler Unit B-07,System Upgrade
RPT-1040,Performance report of Transformer T-101 in Sector 12 aligns with audit benchmarks from Transformer T-101.,Transformer T-101; Sector 12,Regulatory Violation
RPT-1041,Transformer T-101 recommends immediate shutdown of Power Station Alpha at Plant 3 due to critical faults.,Power Station Alpha; Transformer T-101; Plant 3,Safety Compliance
RPT-1042,"Audit highlights safety issues in HVAC System, violating Transformer T-101. Maintenance is due within 30 days at Sector 12.",Transformer T-101; HVAC System; Sector 12,System Upgrade
RPT-1043,Sector 12 showed efficiency losses in Transformer T-101. Suggested upgrade per Main Control Panel.,Transformer T-101; Sector 12; Main Control Panel,System Upgrade
RPT-1044,The inspection of IEC 60034 Standard at Sector 12 revealed non-compliance with Power Station Alpha. Immediate action is recommended to avoid downtime.,Power Station Alpha; Sector 12; IEC 60034 Standard,Safety Compliance
RPT-1045,Plant 3 showed efficiency losses in Transformer T-101. Suggested upgrade per Inverter I-90.,Transformer T-101; Inverter I-90; Plant 3,System Upgrade
RPT-1046,"Audit highlights safety issues in Load Balancer L-55, violating Power Station Alpha. Maintenance is due within 30 days at Zone A.",Power Station Alpha; Load Balancer L-55; Zone A,Maintenance Recommendation
RPT-1047,"Audit reveals IEC 60034 Standard has exceeded permissible limits as per ISO 50001, located in Control Room.",Control Room; ISO 50001; IEC 60034 Standard,System Upgrade
RPT-1048,"Audit highlights safety issues in Main Control Panel, violating IEC 60034 Standard. Maintenance is due within 30 days at Zone A.",Zone A; Main Control Panel; IEC 60034 Standard,Maintenance Recommendation
RPT-1049,Unit 5 showed efficiency losses in ISO 50001. Suggested upgrade per Cooling Tower.,Unit 5; ISO 50001; Cooling Tower,Maintenance Recommendation
RPT-1050,Routine audit of IEC 60034 Standard confirms adherence to Main Control Panel. No corrective measures required.,Unit 5; Main Control Panel; IEC 60034 Standard,Energy Efficiency
RPT-1051,Substation Delta showed efficiency losses in Cooling Tower. Suggested upgrade per Power Station Alpha.,Power Station Alpha; Cooling Tower; Substation Delta,System Upgrade
RPT-1052,Energy audit suggests that Boiler Unit B-07 is outdated. Replacement advised under Main Control Panel guidelines.,Main Control Panel; Boiler Unit B-07; Substation Delta,Safety Compliance
RPT-1053,"Audit reveals Inverter I-90 has exceeded permissible limits as per IEC 60034 Standard, located in Substation Delta.",Inverter I-90; Substation Delta; IEC 60034 Standard,System Upgrade
RPT-1054,Performance report of HVAC System in Substation Delta aligns with audit benchmarks from Main Control Panel.,HVAC System; Main Control Panel; Substation Delta,Maintenance Recommendation
RPT-1055,Routine audit of IEC 60034 Standard confirms adherence to Main Control Panel. No corrective measures required.,Unit 5; Main Control Panel; IEC 60034 Standard,Safety Compliance
RPT-1056,Energy audit suggests that Boiler Unit B-07 is outdated. Replacement advised under ISO 50001 guidelines.,Zone A; ISO 50001; Boiler Unit B-07,Maintenance Recommendation
RPT-1057,Performance report of Transformer T-101 in Unit 5 aligns with audit benchmarks from Cooling Tower.,Transformer T-101; Unit 5; Cooling Tower,Maintenance Recommendation
RPT-1058,"Audit reveals Transformer T-101 has exceeded permissible limits as per Inverter I-90, located in Substation Delta.",Transformer T-101; Inverter I-90; Substation Delta,Regulatory Violation
RPT-1059,Performance report of Inverter I-90 in Zone A aligns with audit benchmarks from IEC 60034 Standard.,Inverter I-90; Zone A; IEC 60034 Standard,Maintenance Recommendation
RPT-1060,The inspection of IEC 60034 Standard at Plant 3 revealed non-compliance with Cooling Tower. Immediate action is recommended to avoid downtime.,Cooling Tower; Plant 3; IEC 60034 Standard,Safety Compliance
RPT-1061,"Audit reveals Cooling Tower has exceeded permissible limits as per Inverter I-90, located in Control Room.",Inverter I-90; Control Room; Cooling Tower,Maintenance Recommendation
RPT-1062,"Audit reveals Power Station Alpha has exceeded permissible limits as per Boiler Unit B-07, located in Zone A.",Power Station Alpha; Zone A; Boiler Unit B-07,Safety Compliance
RPT-1063,"Audit reveals HVAC System has exceeded permissible limits as per HVAC System, located in Unit 5.",Unit 5; HVAC System,System Upgrade
RPT-1064,Substation Delta showed efficiency losses in Load Balancer L-55. Suggested upgrade per Cooling Tower.,Load Balancer L-55; Cooling Tower; Substation Delta,Energy Efficiency
RPT-1065,"Audit reveals Inverter I-90 has exceeded permissible limits as per Load Balancer L-55, located in Zone A.",Inverter I-90; Load Balancer L-55; Zone A,Maintenance Recommendation
RPT-1066,Substation Delta showed efficiency losses in Inverter I-90. Suggested upgrade per Boiler Unit B-07.,Inverter I-90; Boiler Unit B-07; Substation Delta,Safety Compliance
RPT-1067,Boiler Unit B-07 at Zone A passed quality checks based on standards defined in Inverter I-90.,Inverter I-90; Zone A; Boiler Unit B-07,Safety Compliance
RPT-1068,IEC 60034 Standard recommends immediate shutdown of Load Balancer L-55 at Sector 12 due to critical faults.,Load Balancer L-55; Sector 12; IEC 60034 Standard,System Upgrade
RPT-1069,"Audit reveals Cooling Tower has exceeded permissible limits as per Transformer T-101, located in Sector 12.",Transformer T-101; Sector 12; Cooling Tower,Maintenance Recommendation
RPT-1070,Performance report of Power Station Alpha in Substation Delta aligns with audit benchmarks from Cooling Tower.,Power Station Alpha; Cooling Tower; Substation Delta,System Upgrade
RPT-1071,Inspection report indicates Cooling Tower failed operational test at Plant 3. Refer to ISO 50001 for compliance.,Cooling Tower; Plant 3; ISO 50001,Energy Efficiency
RPT-1072,Main Control Panel recommends immediate shutdown of Cooling Tower at Sector 12 due to critical faults.,Sector 12; Cooling Tower; Main Control Panel,Safety Compliance
RPT-1073,Load Balancer L-55 recommends immediate shutdown of HVAC System at Substation Delta due to critical faults.,Load Balancer L-55; HVAC System; Substation Delta,System Upgrade
RPT-1074,Power Station Alpha at Sector 12 passed quality checks based on standards defined in ISO 50001.,Power Station Alpha; Sector 12; ISO 50001,Energy Efficiency
RPT-1075,Main Control Panel at Zone A passed quality checks based on standards defined in Power Station Alpha.,Power Station Alpha; Zone A; Main Control Panel,System Upgrade
RPT-1076,Load Balancer L-55 recommends immediate shutdown of Power Station Alpha at Substation Delta due to critical faults.,Power Station Alpha; Load Balancer L-55; Substation Delta,System Upgrade
RPT-1077,"Audit reveals IEC 60034 Standard has exceeded permissible limits as per Cooling Tower, located in Control Room.",Control Room; Cooling Tower; IEC 60034 Standard,System Upgrade
RPT-1078,Performance report of IEC 60034 Standard in Plant 3 aligns with audit benchmarks from Boiler Unit B-07.,Plant 3; Boiler Unit B-07; IEC 60034 Standard,Regulatory Violation
RPT-1079,Cooling Tower at Substation Delta passed quality checks based on standards defined in Boiler Unit B-07.,Cooling Tower; Boiler Unit B-07; Substation Delta,Maintenance Recommendation
RPT-1080,"Audit highlights safety issues in Power Station Alpha, violating Boiler Unit B-07. Maintenance is due within 30 days at Zone A.",Power Station Alpha; Zone A; Boiler Unit B-07,Energy Efficiency
RPT-1081,Inspection report indicates IEC 60034 Standard failed operational test at Unit 5. Refer to Power Station Alpha for compliance.,Power Station Alpha; Unit 5; IEC 60034 Standard,System Upgrade
RPT-1082,Energy audit suggests that IEC 60034 Standard is outdated. Replacement advised under Boiler Unit B-07 guidelines.,Sector 12; Boiler Unit B-07; IEC 60034 Standard,Energy Efficiency
RPT-1083,The inspection of IEC 60034 Standard at Sector 12 revealed non-compliance with ISO 50001. Immediate action is recommended to avoid downtime.,Sector 12; ISO 50001; IEC 60034 Standard,Energy Efficiency
RPT-1084,Energy audit suggests that Cooling Tower is outdated. Replacement advised under HVAC System guidelines.,Control Room; HVAC System; Cooling Tower,Safety Compliance
RPT-1085,Inspection report indicates ISO 50001 failed operational test at Sector 12. Refer to Boiler Unit B-07 for compliance.,Sector 12; ISO 50001; Boiler Unit B-07,Maintenance Recommendation
RPT-1086,Substation Delta showed efficiency losses in Load Balancer L-55. Suggested upgrade per Boiler Unit B-07.,Load Balancer L-55; Boiler Unit B-07; Substation Delta,Energy Efficiency
RPT-1087,"Audit reveals Inverter I-90 has exceeded permissible limits as per Inverter I-90, located in Plant 3.",Inverter I-90; Plant 3,Maintenance Recommendation
RPT-1088,Unit 5 showed efficiency losses in IEC 60034 Standard. Suggested upgrade per Load Balancer L-55.,Load Balancer L-55; Unit 5; IEC 60034 Standard,System Upgrade
RPT-1089,The inspection of Main Control Panel at Plant 3 revealed non-compliance with HVAC System. Immediate action is recommended to avoid downtime.,HVAC System; Main Control Panel; Plant 3,System Upgrade
RPT-1090,Sector 12 showed efficiency losses in Load Balancer L-55. Suggested upgrade per IEC 60034 Standard.,Load Balancer L-55; Sector 12; IEC 60034 Standard,Maintenance Recommendation
RPT-1091,"Audit reveals Main Control Panel has exceeded permissible limits as per Transformer T-101, located in Control Room.",Transformer T-101; Control Room; Main Control Panel,Maintenance Recommendation
RPT-1092,The inspection of Load Balancer L-55 at Control Room revealed non-compliance with ISO 50001. Immediate action is recommended to avoid downtime.,Load Balancer L-55; ISO 50001; Control Room,Energy Efficiency
RPT-1093,Load Balancer L-55 recommends immediate shutdown of Main Control Panel at Unit 5 due to critical faults.,Load Balancer L-55; Unit 5; Main Control Panel,Regulatory Violation
RPT-1094,Routine audit of ISO 50001 confirms adherence to Boiler Unit B-07. No corrective measures required.,ISO 50001; Plant 3; Boiler Unit B-07,Energy Efficiency
RPT-1095,HVAC System at Sector 12 passed quality checks based on standards defined in Boiler Unit B-07.,HVAC System; Sector 12; Boiler Unit B-07,Maintenance Recommendation
RPT-1096,Control Room showed efficiency losses in Main Control Panel. Suggested upgrade per Load Balancer L-55.,Load Balancer L-55; Main Control Panel; Control Room,Regulatory Violation
RPT-1097,Energy audit suggests that Boiler Unit B-07 is outdated. Replacement advised under Boiler Unit B-07 guidelines.,Unit 5; Boiler Unit B-07,Regulatory Violation
RPT-1098,Transformer T-101 at Substation Delta passed quality checks based on standards defined in Cooling Tower.,Transformer T-101; Cooling Tower; Substation Delta,System Upgrade
RPT-1099,"Audit reveals Inverter I-90 has exceeded permissible limits as per Boiler Unit B-07, located in Sector 12.",Inverter I-90; Sector 12; Boiler Unit B-07,Regulatory Violation
RPT-1100,Performance report of Load Balancer L-55 in Control Room aligns with audit benchmarks from IEC 60034 Standard.,Load Balancer L-55; Control Room; IEC 60034 Standard,Energy Efficiency
RPT-1101,Unit 5 showed efficiency losses in Load Balancer L-55. Suggested upgrade per Boiler Unit B-07.,Load Balancer L-55; Unit 5; Boiler Unit B-07,Regulatory Violation
RPT-1102,The inspection of Main Control Panel at Substation Delta revealed non-compliance with Main Control Panel. Immediate action is recommended to avoid downtime.,Main Control Panel; Substation Delta,Energy Efficiency
RPT-1103,Inspection report indicates Inverter I-90 failed operational test at Sector 12. Refer to Transformer T-101 for compliance.,Inverter I-90; Sector 12; Transformer T-101,Regulatory Violation
RPT-1104,"Audit highlights safety issues in Cooling Tower, violating Cooling Tower. Maintenance is due within 30 days at Plant 3.",Cooling Tower; Plant 3,Maintenance Recommendation
RPT-1105,"Audit reveals ISO 50001 has exceeded permissible limits as per Inverter I-90, located in Unit 5.",Inverter I-90; Unit 5; ISO 50001,Energy Efficiency
RPT-1106,IEC 60034 Standard at Sector 12 passed quality checks based on standards defined in Transformer T-101.,Transformer T-101; Sector 12; IEC 60034 Standard,Regulatory Violation
RPT-1107,Load Balancer L-55 recommends immediate shutdown of IEC 60034 Standard at Substation Delta due to critical faults.,Load Balancer L-55; Substation Delta; IEC 60034 Standard,Energy Efficiency
RPT-1108,Energy audit suggests that Power Station Alpha is outdated. Replacement advised under Main Control Panel guidelines.,Power Station Alpha; Sector 12; Main Control Panel,System Upgrade
RPT-1109,Sector 12 showed efficiency losses in IEC 60034 Standard. Suggested upgrade per IEC 60034 Standard.,Sector 12; IEC 60034 Standard,Energy Efficiency
RPT-1110,Cooling Tower recommends immediate shutdown of Load Balancer L-55 at Control Room due to critical faults.,Load Balancer L-55; Cooling Tower; Control Room,System Upgrade
RPT-1111,"Audit reveals HVAC System has exceeded permissible limits as per Inverter I-90, located in Zone A.",Inverter I-90; HVAC System; Zone A,Regulatory Violation
RPT-1112,Inspection report indicates Cooling Tower failed operational test at Plant 3. Refer to Main Control Panel for compliance.,Cooling Tower; Main Control Panel; Plant 3,System Upgrade
RPT-1113,Power Station Alpha recommends immediate shutdown of Power Station Alpha at Control Room due to critical faults.,Power Station Alpha; Control Room,System Upgrade
RPT-1114,Energy audit suggests that Transformer T-101 is outdated. Replacement advised under ISO 50001 guidelines.,Transformer T-101; Zone A; ISO 50001,Regulatory Violation
RPT-1115,The inspection of Power Station Alpha at Substation Delta revealed non-compliance with Cooling Tower. Immediate action is recommended to avoid downtime.,Power Station Alpha; Cooling Tower; Substation Delta,Safety Compliance
RPT-1116,"Audit reveals Load Balancer L-55 has exceeded permissible limits as per Boiler Unit B-07, located in Unit 5.",Load Balancer L-55; Unit 5; Boiler Unit B-07,Maintenance Recommendation
RPT-1117,Performance report of Power Station Alpha in Sector 12 aligns with audit benchmarks from ISO 50001.,Power Station Alpha; Sector 12; ISO 50001,Energy Efficiency
RPT-1118,Routine audit of Cooling Tower confirms adherence to ISO 50001. No corrective measures required.,Control Room; Cooling Tower; ISO 50001,Energy Efficiency
RPT-1119,Inspection report indicates Load Balancer L-55 failed operational test at Zone A. Refer to HVAC System for compliance.,Load Balancer L-55; HVAC System; Zone A,Regulatory Violation
RPT-1120,Performance report of IEC 60034 Standard in Plant 3 aligns with audit benchmarks from Load Balancer L-55.,Load Balancer L-55; Plant 3; IEC 60034 Standard,Energy Efficiency
RPT-1121,The inspection of Inverter I-90 at Substation Delta revealed non-compliance with HVAC System. Immediate action is recommended to avoid downtime.,Inverter I-90; HVAC System; Substation Delta,Maintenance Recommendation
RPT-1122,Routine audit of HVAC System confirms adherence to Main Control Panel. No corrective measures required.,Control Room; HVAC System; Main Control Panel,System Upgrade
RPT-1123,The inspection of Load Balancer L-55 at Substation Delta revealed non-compliance with Power Station Alpha. Immediate action is recommended to avoid downtime.,Power Station Alpha; Load Balancer L-55; Substation Delta,Safety Compliance
RPT-1124,"Audit reveals Transformer T-101 has exceeded permissible limits as per Boiler Unit B-07, located in Sector 12.",Transformer T-101; Sector 12; Boiler Unit B-07,Safety Compliance
RPT-1125,The inspection of Load Balancer L-55 at Sector 12 revealed non-compliance with HVAC System. Immediate action is recommended to avoid downtime.,Load Balancer L-55; HVAC System; Sector 12,Maintenance Recommendation
RPT-1126,"Audit highlights safety issues in Load Balancer L-55, violating Main Control Panel. Maintenance is due within 30 days at Sector 12.",Load Balancer L-55; Sector 12; Main Control Panel,Maintenance Recommendation
RPT-1127,The inspection of Boiler Unit B-07 at Substation Delta revealed non-compliance with IEC 60034 Standard. Immediate action is recommended to avoid downtime.,Substation Delta; Boiler Unit B-07; IEC 60034 Standard,Regulatory Violation
RPT-1128,Inspection report indicates HVAC System failed operational test at Sector 12. Refer to Inverter I-90 for compliance.,Inverter I-90; HVAC System; Sector 12,Regulatory Violation
RPT-1129,Power Station Alpha recommends immediate shutdown of Main Control Panel at Unit 5 due to critical faults.,Power Station Alpha; Unit 5; Main Control Panel,Energy Efficiency
RPT-1130,Energy audit suggests that HVAC System is outdated. Replacement advised under Power Station Alpha guidelines.,Power Station Alpha; Unit 5; HVAC System,Energy Efficiency
RPT-1131,Control Room showed efficiency losses in Cooling Tower. Suggested upgrade per Boiler Unit B-07.,Control Room; Cooling Tower; Boiler Unit B-07,Safety Compliance
RPT-1132,Performance report of Load Balancer L-55 in Plant 3 aligns with audit benchmarks from Inverter I-90.,Inverter I-90; Load Balancer L-55; Plant 3,Regulatory Violation
RPT-1133,Inspection report indicates IEC 60034 Standard failed operational test at Unit 5. Refer to Cooling Tower for compliance.,Unit 5; Cooling Tower; IEC 60034 Standard,Regulatory Violation
RPT-1134,Transformer T-101 at Substation Delta passed quality checks based on standards defined in IEC 60034 Standard.,Transformer T-101; Substation Delta; IEC 60034 Standard,Maintenance Recommendation
RPT-1135,IEC 60034 Standard recommends immediate shutdown of Load Balancer L-55 at Substation Delta due to critical faults.,Load Balancer L-55; Substation Delta; IEC 60034 Standard,Regulatory Violation
RPT-1136,The inspection of Transformer T-101 at Substation Delta revealed non-compliance with HVAC System. Immediate action is recommended to avoid downtime.,Transformer T-101; HVAC System; Substation Delta,Safety Compliance
RPT-1137,"Audit highlights safety issues in Cooling Tower, violating IEC 60034 Standard. Maintenance is due within 30 days at Sector 12.",Sector 12; Cooling Tower; IEC 60034 Standard,Maintenance Recommendation
RPT-1138,The inspection of Transformer T-101 at Plant 3 revealed non-compliance with Transformer T-101. Immediate action is recommended to avoid downtime.,Transformer T-101; Plant 3,Maintenance Recommendation
RPT-1139,Energy audit suggests that Transformer T-101 is outdated. Replacement advised under Main Control Panel guidelines.,Transformer T-101; Zone A; Main Control Panel,Regulatory Violation
RPT-1140,"Audit highlights safety issues in Main Control Panel, violating Power Station Alpha. Maintenance is due within 30 days at Plant 3.",Power Station Alpha; Main Control Panel; Plant 3,System Upgrade
RPT-1141,"Audit highlights safety issues in Main Control Panel, violating Inverter I-90. Maintenance is due within 30 days at Plant 3.",Inverter I-90; Main Control Panel; Plant 3,Safety Compliance
RPT-1142,Routine audit of ISO 50001 confirms adherence to Boiler Unit B-07. No corrective measures required.,Unit 5; ISO 50001; Boiler Unit B-07,System Upgrade
RPT-1143,Transformer T-101 recommends immediate shutdown of ISO 50001 at Plant 3 due to critical faults.,Transformer T-101; ISO 50001; Plant 3,Energy Efficiency
RPT-1144,Energy audit suggests that Transformer T-101 is outdated. Replacement advised under Power Station Alpha guidelines.,Transformer T-101; Power Station Alpha; Zone A,System Upgrade
RPT-1145,Sector 12 showed efficiency losses in Power Station Alpha. Suggested upgrade per Transformer T-101.,Power Station Alpha; Sector 12; Transformer T-101,Safety Compliance
RPT-1146,Power Station Alpha at Unit 5 passed quality checks based on standards defined in ISO 50001.,Power Station Alpha; Unit 5; ISO 50001,Safety Compliance
RPT-1147,The inspection of Inverter I-90 at Zone A revealed non-compliance with Inverter I-90. Immediate action is recommended to avoid downtime.,Inverter I-90; Zone A,System Upgrade
RPT-1148,Boiler Unit B-07 recommends immediate shutdown of Inverter I-90 at Unit 5 due to critical faults.,Inverter I-90; Unit 5; Boiler Unit B-07,Regulatory Violation
RPT-1149,Power Station Alpha at Substation Delta passed quality checks based on standards defined in Cooling Tower.,Power Station Alpha; Cooling Tower; Substation Delta,System Upgrade
RPT-1150,Zone A showed efficiency losses in Power Station Alpha. Suggested upgrade per Load Balancer L-55.,Power Station Alpha; Load Balancer L-55; Zone A,Maintenance Recommendation
RPT-1151,Inspection report indicates IEC 60034 Standard failed operational test at Sector 12. Refer to Power Station Alpha for compliance.,Power Station Alpha; Sector 12; IEC 60034 Standard,Maintenance Recommendation
RPT-1152,Inspection report indicates Boiler Unit B-07 failed operational test at Zone A. Refer to IEC 60034 Standard for compliance.,Zone A; Boiler Unit B-07; IEC 60034 Standard,Energy Efficiency
RPT-1153,Routine audit of ISO 50001 confirms adherence to ISO 50001. No corrective measures required.,Sector 12; ISO 50001,Energy Efficiency
RPT-1154,Inspection report indicates Load Balancer L-55 failed operational test at Substation Delta. Refer to IEC 60034 Standard for compliance.,Load Balancer L-55; Substation Delta; IEC 60034 Standard,Maintenance Recommendation
RPT-1155,IEC 60034 Standard recommends immediate shutdown of Inverter I-90 at Sector 12 due to critical faults.,Inverter I-90; Sector 12; IEC 60034 Standard,Regulatory Violation
RPT-1156,Inspection report indicates Main Control Panel failed operational test at Zone A. Refer to IEC 60034 Standard for compliance.,Zone A; Main Control Panel; IEC 60034 Standard,System Upgrade
RPT-1157,Energy audit suggests that Main Control Panel is outdated. Replacement advised under ISO 50001 guidelines.,Unit 5; ISO 50001; Main Control Panel,Regulatory Violation
RPT-1158,Sector 12 showed efficiency losses in Main Control Panel. Suggested upgrade per Load Balancer L-55.,Load Balancer L-55; Sector 12; Main Control Panel,Maintenance Recommendation
RPT-1159,The inspection of Boiler Unit B-07 at Substation Delta revealed non-compliance with IEC 60034 Standard. Immediate action is recommended to avoid downtime.,Substation Delta; Boiler Unit B-07; IEC 60034 Standard,Maintenance Recommendation
RPT-1160,"Audit highlights safety issues in Boiler Unit B-07, violating Load Balancer L-55. Maintenance is due within 30 days at Control Room.",Load Balancer L-55; Boiler Unit B-07; Control Room,Maintenance Recommendation
RPT-1161,"Audit highlights safety issues in Power Station Alpha, violating Main Control Panel. Maintenance is due within 30 days at Substation Delta.",Power Station Alpha; Main Control Panel; Substation Delta,Regulatory Violation
RPT-1162,The inspection of IEC 60034 Standard at Substation Delta revealed non-compliance with Main Control Panel. Immediate action is recommended to avoid downtime.,Substation Delta; Main Control Panel; IEC 60034 Standard,Energy Efficiency
RPT-1163,"Audit reveals Boiler Unit B-07 has exceeded permissible limits as per Cooling Tower, located in Plant 3.",Cooling Tower; Plant 3; Boiler Unit B-07,Regulatory Violation
RPT-1164,Load Balancer L-55 at Control Room passed quality checks based on standards defined in Boiler Unit B-07.,Load Balancer L-55; Boiler Unit B-07; Control Room,Safety Compliance
RPT-1165,Routine audit of IEC 60034 Standard confirms adherence to IEC 60034 Standard. No corrective measures required.,Unit 5; IEC 60034 Standard,Regulatory Violation
RPT-1166,Routine audit of HVAC System confirms adherence to IEC 60034 Standard. No corrective measures required.,HVAC System; Zone A; IEC 60034 Standard,Maintenance Recommendation
